# class=rough
# date=20260426_012843
# sample_rate_hz=100
# accel_range=4g
# gyro_range=500dps
# accel_scale=8192.0
# gyro_scale=65.5
# total_samples=1000
# missed_frames=0
# crc_errors=0
tick_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,seq
1180913,1657,-273,8737,317,287,-114,1
1180923,2008,-632,7694,24,492,-80,2
1180933,1797,-342,8367,339,327,-128,3
1180943,1651,-364,8268,245,75,-105,4
1180953,1974,-213,8677,485,-25,-156,5
1180963,1714,-28,8503,444,83,-163,6
1180973,1360,-566,8107,391,196,-163,7
1180983,1675,85,8273,363,338,-176,8
1180993,1293,-214,8579,313,335,-173,9
1181003,2226,-78,8481,506,241,-215,10
1181013,2013,389,8091,346,218,-206,11
1181023,1798,-350,8188,386,226,-210,12
1181033,1645,850,8559,354,186,-221,13
1181043,1172,290,8448,277,118,-232,14
1181053,1509,-247,7940,523,133,-280,15
1181063,1898,827,8019,194,145,-237,16
1181073,1860,-406,8209,222,194,-241,17
1181083,1840,-44,8297,414,183,-253,18
1181093,1983,261,8293,195,53,-211,19
1181103,1747,-448,8616,335,38,-226,20
1181113,1883,-150,8626,298,-32,-204,21
1181123,2088,-338,8359,245,13,-199,22
1181133,2014,-402,8955,214,33,-175,23
1181143,1952,-625,8411,220,116,-149,24
1181153,1766,-340,8650,133,64,-122,25
1181163,1837,-819,8997,83,48,-108,26
1181173,2498,-327,8030,52,101,-104,27
1181183,2188,-1079,9153,100,-122,-105,28
1181193,1962,-818,9327,9,30,-75,29
1181203,2006,-776,8697,-98,40,-42,30
1181213,1214,-1047,8759,4,-103,-49,31
1181223,1484,-655,8848,-47,-68,-36,32
1181233,2029,-1102,8674,-96,56,-37,33
1181243,2253,-787,8562,-149,213,-28,34
1181253,2033,-850,8363,-223,233,-12,35
1181263,1896,-549,8443,-84,50,-27,36
1181273,1489,-817,8190,-81,-132,-21,37
1181283,1612,-719,8546,-66,-184,-29,38
1181293,1966,-417,8959,-108,-98,-37,39
1181303,1905,-969,8146,-55,113,-58,40
1181313,2026,-554,8308,-62,85,-58,41
1181323,2030,-490,8864,-249,217,-38,42
1181333,2141,-511,8292,-110,354,-60,43
1181343,2103,-441,8128,-129,148,-53,44
1181353,2064,-505,8572,-111,61,-65,45
1181363,1469,-760,8628,-183,107,-65,46
1181373,2224,-652,8541,-267,205,-72,47
1181383,1750,-123,8574,-407,324,-65,48
1181393,2069,-693,8016,-390,375,-76,49
1181403,2377,157,7955,-356,276,-77,50
1181413,1368,-221,8315,-400,140,-74,51
1181423,1308,-62,8489,-278,166,-89,52
1181433,1531,-135,8100,-373,202,-86,53
1181443,1417,-293,7985,-331,261,-101,54
1181453,1990,527,7689,-420,358,-97,55
1181463,1990,527,7689,-420,358,-97,56
1181473,2287,-11,7432,-359,351,-100,57
1181483,2177,72,7907,-235,261,-106,58
1181493,1866,150,8228,-226,198,-101,59
1181503,2028,-11,8362,-134,284,-116,60
1181513,1578,124,8217,-236,360,-97,61
1181523,1497,256,8206,-229,369,-110,62
1181533,1611,457,8208,-213,261,-111,63
1181543,1779,144,7663,-75,191,-141,64
1181553,1808,707,7732,-47,144,-158,65
1181563,1916,553,7334,-123,258,-155,66
1181573,1523,499,7403,29,270,-179,67
1181583,1406,847,7491,-35,196,-173,68
1181593,1538,105,8193,204,72,-210,69
1181603,1617,932,7741,121,161,-207,70
1181613,2096,504,7701,-9,168,-188,71
1181623,1835,444,7970,188,128,-223,72
1181633,1922,503,7714,101,65,-196,73
1181643,1472,203,8118,237,-30,-208,74
1181653,1609,2,8254,186,-14,-193,75
1181663,1599,298,8356,190,36,-208,76
1181673,1960,760,7821,8,152,-187,77
1181683,2214,20,7653,212,118,-213,78
1181693,1525,1084,7488,181,30,-207,79
